Tier 1 Contextual Category;Tier 2 Contextual Category; Cost (EUR) ;Impressions;Clicks;CTR (%); eCPM (EUR) ; eCPC (EUR) ;Leads (All); eCPL (All) (EUR) ;COV (%)
Arts & Entertainment;Books & Literature; 2 428,32 ;436862;354;0,08%; 5,56 ; 6,86 ;5; 485,66 ;1,41%
Arts & Entertainment;Celebrity Fan/Gossip; 5 620,08 ;797331;480;0,06%; 7,05 ; 11,71 ;6; 936,68 ;1,25%
Arts & Entertainment;Fine Art; 1 307,36 ;352191;315;0,09%; 3,71 ; 4,15 ;5; 261,47 ;1,59%
Arts & Entertainment;Humor; 3 424,96 ;658492;529;0,08%; 5,20 ; 6,47 ;7; 489,28 ;1,32%
Arts & Entertainment;Movies; 6 523,68 ;994689;739;0,07%; 6,56 ; 8,83 ;6; 1 087,28 ;0,81%
Arts & Entertainment;Music; 9 525,12 ;1197117;855;0,07%; 7,96 ; 11,14 ;5; 1 905,02 ;0,58%
Arts & Entertainment;n/a; 70 880,72 ;8180719;4401;0,05%; 8,66 ; 16,11 ;10; 7 088,07 ;0,23%
Arts & Entertainment;Television; 8 874,16 ;1107684;976;0,09%; 8,01 ; 9,09 ;6; 1 479,03 ;0,61%
Automotive;Auto Parts; 2 789,20 ;432149;347;0,08%; 6,45 ; 8,04 ;5; 557,84 ;1,44%
Automotive;Auto Repair; 105,68 ;217952;271;0,12%; 0,48 ; 0,39 ;5; 21,14 ;1,85%
Automotive;Buying/Selling Cars; 1 071,68 ;317969;314;0,10%; 3,37 ; 3,41 ;5; 214,34 ;1,59%
Automotive;Car Culture; 101,12 ;218483;273;0,12%; 0,46 ; 0,37 ;5; 20,22 ;1,83%
Automotive;Certified Pre-Owned; 110,16 ;219513;273;0,12%; 0,50 ; 0,40 ;5; 22,03 ;1,83%
Automotive;Convertible; 167,92 ;225013;280;0,12%; 0,75 ; 0,60 ;5; 33,58 ;1,79%
Automotive;Coupe; 168,08 ;225040;280;0,12%; 0,75 ; 0,60 ;5; 33,62 ;1,79%
Automotive;Crossover; 167,12 ;224859;280;0,12%; 0,74 ; 0,60 ;5; 33,42 ;1,79%
Automotive;Diesel; 167,12 ;224859;280;0,12%; 0,74 ; 0,60 ;5; 33,42 ;1,79%
Automotive;Electric Vehicle; 185,52 ;226282;281;0,12%; 0,82 ; 0,66 ;5; 37,10 ;1,78%
Automotive;Hatchback; 166,80 ;224825;280;0,12%; 0,74 ; 0,60 ;5; 33,36 ;1,79%
Automotive;Hybrid; 199,12 ;227276;280;0,12%; 0,88 ; 0,71 ;5; 39,82 ;1,79%
Automotive;Luxury; 353,84 ;233020;286;0,12%; 1,52 ; 1,24 ;5; 70,77 ;1,75%
Automotive;MiniVan; 186,16 ;226551;281;0,12%; 0,82 ; 0,66 ;5; 37,23 ;1,78%
Automotive;Motorcycles; 416,48 ;248569;290;0,12%; 1,68 ; 1,44 ;5; 83,30 ;1,72%
Automotive;n/a; 7 256,56 ;846598;602;0,07%; 8,57 ; 12,05 ;5; 1 451,31 ;0,83%
Automotive;Off-Road Vehicles; 105,68 ;218322;271;0,12%; 0,48 ; 0,39 ;5; 21,14 ;1,85%
Automotive;Performance Vehicles; 408,40 ;238336;285;0,12%; 1,71 ; 1,43 ;5; 81,68 ;1,75%
Automotive;Pickup; 42,64 ;213068;266;0,12%; 0,20 ; 0,16 ;5; 8,53 ;1,88%
Automotive;Road-Side Assistance; 20,40 ;210822;266;0,13%; 0,10 ; 0,08 ;5; 4,08 ;1,88%
Automotive;Sedan; 20,24 ;210811;266;0,13%; 0,10 ; 0,08 ;5; 4,05 ;1,88%
Automotive;Trucks & Accessories; 108,64 ;220824;268;0,12%; 0,49 ; 0,41 ;5; 21,73 ;1,87%
Automotive;Vintage Cars; 218,56 ;230492;277;0,12%; 0,95 ; 0,79 ;5; 43,71 ;1,81%
Automotive;Wagon; 20,24 ;210811;266;0,13%; 0,10 ; 0,08 ;5; 4,05 ;1,88%
Business;Advertising; 504,40 ;247627;280;0,11%; 2,04 ; 1,80 ;5; 100,88 ;1,79%
Business;Agriculture; 367,04 ;242898;287;0,12%; 1,51 ; 1,28 ;5; 73,41 ;1,74%
Business;Biotech/Biomedical; 51,52 ;212668;269;0,13%; 0,24 ; 0,19 ;5; 10,30 ;1,86%
Business;Business Software; 1 439,84 ;354362;337;0,10%; 4,06 ; 4,27 ;5; 287,97 ;1,48%
Business;Construction; 251,44 ;225855;277;0,12%; 1,11 ; 0,91 ;5; 50,29 ;1,81%
Business;Forestry; 44,96 ;213127;267;0,13%; 0,21 ; 0,17 ;5; 8,99 ;1,87%
Business;Government; 20,56 ;210406;266;0,13%; 0,10 ; 0,08 ;5; 4,11 ;1,88%
Business;Green Solutions; 20,56 ;210426;266;0,13%; 0,10 ; 0,08 ;5; 4,11 ;1,88%
Business;Human Resources; 140,08 ;216981;270;0,12%; 0,65 ; 0,52 ;5; 28,02 ;1,85%
Business;Logistics; 301,04 ;229757;276;0,12%; 1,31 ; 1,09 ;5; 60,21 ;1,81%
Business;Marketing; 504,48 ;247633;280;0,11%; 2,04 ; 1,80 ;5; 100,90 ;1,79%
Business;Metals; 129,76 ;218071;267;0,12%; 0,60 ; 0,49 ;5; 25,95 ;1,87%
Business;n/a; 9 283,12 ;1022590;644;0,06%; 9,08 ; 14,41 ;7; 1 326,16 ;1,09%
Careers;Career Advice; 37,60 ;207655;261;0,13%; 0,18 ; 0,14 ;4; 9,40 ;1,53%
Careers;Career Planning; 132,96 ;212860;261;0,12%; 0,62 ; 0,51 ;4; 33,24 ;1,53%
Careers;College; 37,20 ;207622;261;0,13%; 0,18 ; 0,14 ;4; 9,30 ;1,53%
Careers;Financial Aid; 27,76 ;206697;260;0,13%; 0,13 ; 0,11 ;4; 6,94 ;1,54%
Careers;Job Fairs; 43,60 ;208072;261;0,13%; 0,21 ; 0,17 ;4; 10,90 ;1,53%
Careers;Job Search; 814,88 ;251239;302;0,12%; 3,24 ; 2,70 ;4; 203,72 ;1,32%
Careers;n/a; 2 505,44 ;394546;339;0,09%; 6,35 ; 7,39 ;6; 417,57 ;1,77%
Careers;Nursing; 19,76 ;206176;260;0,13%; 0,10 ; 0,08 ;4; 4,94 ;1,54%
Careers;Resume Writing/Advice; 132,80 ;212989;263;0,12%; 0,62 ; 0,50 ;4; 33,20 ;1,52%
Careers;Scholarships; 27,20 ;206696;260;0,13%; 0,13 ; 0,10 ;4; 6,80 ;1,54%
Careers;Telecommuting; 19,76 ;206176;260;0,13%; 0,10 ; 0,08 ;4; 4,94 ;1,54%
Careers;U.S. Military; 19,76 ;206176;260;0,13%; 0,10 ; 0,08 ;4; 4,94 ;1,54%
Education;7-12 Education; 314,24 ;226819;267;0,12%; 1,39 ; 1,18 ;4; 78,56 ;1,50%
Education;Adult Education; 43,28 ;208112;263;0,13%; 0,21 ; 0,16 ;4; 10,82 ;1,52%
Education;Art History; 47,68 ;207906;261;0,13%; 0,23 ; 0,18 ;4; 11,92 ;1,53%
Education;College Administration; 339,04 ;236575;273;0,12%; 1,43 ; 1,24 ;4; 84,76 ;1,47%
Education;College Life; 119,36 ;221344;263;0,12%; 0,54 ; 0,45 ;4; 29,84 ;1,52%
Education;Distance Learning; 86,80 ;209357;264;0,13%; 0,41 ; 0,33 ;4; 21,70 ;1,52%
Education;English as a 2nd Language; 19,76 ;205750;260;0,13%; 0,10 ; 0,08 ;4; 4,94 ;1,54%
Education;Graduate School; 119,36 ;221271;263;0,12%; 0,54 ; 0,45 ;4; 29,84 ;1,52%
Education;Homeschooling; 50,24 ;208032;261;0,13%; 0,24 ; 0,19 ;4; 12,56 ;1,53%
Education;Homework/Study Tips; 47,76 ;207926;261;0,13%; 0,23 ; 0,18 ;4; 11,94 ;1,53%
Education;K-6 Educators; 52,00 ;208852;262;0,13%; 0,25 ; 0,20 ;4; 13,00 ;1,53%
Education;Language Learning; 38,40 ;207287;261;0,13%; 0,19 ; 0,15 ;4; 9,60 ;1,53%
Education;n/a; 3 109,84 ;474112;395;0,08%; 6,56 ; 7,87 ;4; 777,46 ;1,01%
Education;Private School; 30,24 ;206460;260;0,13%; 0,15 ; 0,12 ;4; 7,56 ;1,54%
Education;Special Education; 56,80 ;208189;268;0,13%; 0,27 ; 0,21 ;4; 14,20 ;1,49%
Education;Studying Business; 101,04 ;211598;262;0,12%; 0,48 ; 0,39 ;4; 25,26 ;1,53%
Family & Parenting;Adoption; 24,56 ;211088;266;0,13%; 0,12 ; 0,09 ;5; 4,91 ;1,88%
Family & Parenting;Babies & Toddlers; 284,64 ;226638;274;0,12%; 1,26 ; 1,04 ;5; 56,93 ;1,82%
Family & Parenting;Daycare/Pre School; 71,44 ;212952;274;0,13%; 0,34 ; 0,26 ;5; 14,29 ;1,82%
Family & Parenting;Eldercare; 45,12 ;212690;267;0,13%; 0,21 ; 0,17 ;5; 9,02 ;1,87%
Family & Parenting;Family Internet; 20,56 ;210992;266;0,13%; 0,10 ; 0,08 ;5; 4,11 ;1,88%
Family & Parenting;n/a; 1 865,36 ;367792;357;0,10%; 5,07 ; 5,23 ;5; 373,07 ;1,40%
Family & Parenting;Parenting - K-6 Kids; 770,96 ;308648;292;0,09%; 2,50 ; 2,64 ;5; 154,19 ;1,71%
Family & Parenting;Parenting teens; 20,40 ;210822;266;0,13%; 0,10 ; 0,08 ;5; 4,08 ;1,88%
Family & Parenting;Pregnancy; 589,04 ;266247;287;0,11%; 2,21 ; 2,05 ;5; 117,81 ;1,74%
Family & Parenting;Special Needs Kids; 37,28 ;211691;273;0,13%; 0,18 ; 0,14 ;5; 7,46 ;1,83%
Food & Drink;American Cuisine; 1 728,96 ;425881;416;0,10%; 4,06 ; 4,16 ;5; 345,79 ;1,20%
Food & Drink;Barbecues & Grilling; 1 853,04 ;437737;421;0,10%; 4,23 ; 4,40 ;5; 370,61 ;1,19%
Food & Drink;Cajun/Creole; 1 846,16 ;437384;421;0,10%; 4,22 ; 4,39 ;5; 369,23 ;1,19%
Food & Drink;Chinese Cuisine; 1 685,36 ;422914;415;0,10%; 3,99 ; 4,06 ;5; 337,07 ;1,20%
Food & Drink;Cocktails/Beer; 46,40 ;215557;269;0,12%; 0,22 ; 0,17 ;5; 9,28 ;1,86%
Food & Drink;Coffee/Tea; 262,88 ;233290;279;0,12%; 1,13 ; 0,94 ;5; 52,58 ;1,79%
Food & Drink;Cuisine-Specific; 1 852,56 ;437840;421;0,10%; 4,23 ; 4,40 ;5; 370,51 ;1,19%
Food & Drink;Desserts & Baking; 737,36 ;272508;315;0,12%; 2,71 ; 2,34 ;5; 147,47 ;1,59%
Food & Drink;Dining Out; 466,08 ;263674;284;0,11%; 1,77 ; 1,64 ;5; 93,22 ;1,76%
Food & Drink;Food Allergies; 203,20 ;226830;274;0,12%; 0,90 ; 0,74 ;5; 40,64 ;1,82%
Food & Drink;French Cuisine; 1 852,00 ;437870;422;0,10%; 4,23 ; 4,39 ;5; 370,40 ;1,18%
Food & Drink;Health/Lowfat Cooking; 1 683,36 ;422714;415;0,10%; 3,98 ; 4,06 ;5; 336,67 ;1,20%
Food & Drink;Italian Cuisine; 1 967,12 ;453846;431;0,09%; 4,33 ; 4,56 ;5; 393,42 ;1,16%
Food & Drink;Japanese Cuisine; 1 691,20 ;423231;414;0,10%; 4,00 ; 4,09 ;5; 338,24 ;1,21%
Food & Drink;Mexican Cuisine; 1 854,96 ;438079;423;0,10%; 4,23 ; 4,39 ;5; 370,99 ;1,18%
Food & Drink;n/a; 12 600,24 ;1591572;1021;0,06%; 7,92 ; 12,34 ;5; 2 520,05 ;0,49%
Food & Drink;Vegan; 226,24 ;231562;277;0,12%; 0,98 ; 0,82 ;5; 45,25 ;1,81%
Food & Drink;Vegetarian; 226,24 ;231562;277;0,12%; 0,98 ; 0,82 ;5; 45,25 ;1,81%
Food & Drink;Wine; 254,48 ;248838;274;0,11%; 1,02 ; 0,93 ;5; 50,90 ;1,82%
Health & Fitness;A.D.D.; 40,32 ;214154;268;0,13%; 0,19 ; 0,15 ;5; 8,06 ;1,87%
Health & Fitness;AIDS/HIV; 22,48 ;210949;266;0,13%; 0,11 ; 0,08 ;5; 4,50 ;1,88%
Health & Fitness;Allergies; 34,40 ;211700;267;0,13%; 0,16 ; 0,13 ;5; 6,88 ;1,87%
Health & Fitness;Alternative Medicine; 181,04 ;220551;274;0,12%; 0,82 ; 0,66 ;5; 36,21 ;1,82%
Health & Fitness;Arthritis; 47,76 ;212296;267;0,13%; 0,22 ; 0,18 ;5; 9,55 ;1,87%
Health & Fitness;Asthma; 23,60 ;211034;266;0,13%; 0,11 ; 0,09 ;5; 4,72 ;1,88%
Health & Fitness;Autism/PDD; 20,24 ;210811;266;0,13%; 0,10 ; 0,08 ;5; 4,05 ;1,88%
Health & Fitness;Bipolar Disorder; 20,24 ;210811;266;0,13%; 0,10 ; 0,08 ;5; 4,05 ;1,88%
Health & Fitness;Brain Tumor; 20,24 ;210811;266;0,13%; 0,10 ; 0,08 ;5; 4,05 ;1,88%
Health & Fitness;Cancer; 52,16 ;212836;266;0,12%; 0,25 ; 0,20 ;5; 10,43 ;1,88%
Health & Fitness;Cholesterol; 31,92 ;211424;266;0,13%; 0,15 ; 0,12 ;5; 6,38 ;1,88%
Health & Fitness;Chronic Fatigue Syndrome; 20,24 ;210811;266;0,13%; 0,10 ; 0,08 ;5; 4,05 ;1,88%
Health & Fitness;Chronic Pain; 60,48 ;212883;266;0,12%; 0,28 ; 0,23 ;5; 12,10 ;1,88%
Health & Fitness;Cold & Flu; 41,76 ;212085;267;0,13%; 0,20 ; 0,16 ;5; 8,35 ;1,87%
Health & Fitness;Deafness; 50,80 ;212595;268;0,13%; 0,24 ; 0,19 ;5; 10,16 ;1,87%
Health & Fitness;Dental Care; 73,04 ;214088;268;0,13%; 0,34 ; 0,27 ;5; 14,61 ;1,87%
Health & Fitness;Depression; 47,52 ;214543;268;0,12%; 0,22 ; 0,18 ;5; 9,50 ;1,87%
Health & Fitness;Dermatology; 20,24 ;210811;266;0,13%; 0,10 ; 0,08 ;5; 4,05 ;1,88%
Health & Fitness;Diabetes; 34,48 ;211805;266;0,13%; 0,16 ; 0,13 ;5; 6,90 ;1,88%
Health & Fitness;Epilepsy; 20,24 ;210811;266;0,13%; 0,10 ; 0,08 ;5; 4,05 ;1,88%
Health & Fitness;Exercise; 138,32 ;221675;271;0,12%; 0,62 ; 0,51 ;5; 27,66 ;1,85%
Health & Fitness;GERD/Acid Reflux; 96,24 ;214985;267;0,12%; 0,45 ; 0,36 ;5; 19,25 ;1,87%
Health & Fitness;Headaches/Migraines; 29,20 ;211310;266;0,13%; 0,14 ; 0,11 ;5; 5,84 ;1,88%
Health & Fitness;Heart Disease; 77,60 ;214235;268;0,13%; 0,36 ; 0,29 ;5; 15,52 ;1,87%
Health & Fitness;Herbs for Health; 20,24 ;210811;266;0,13%; 0,10 ; 0,08 ;5; 4,05 ;1,88%
Health & Fitness;Holistic Healing; 20,24 ;210811;266;0,13%; 0,10 ; 0,08 ;5; 4,05 ;1,88%
Health & Fitness;IBS/Crohn's Disease; 20,24 ;210811;266;0,13%; 0,10 ; 0,08 ;5; 4,05 ;1,88%
Health & Fitness;Incest/Abuse Support; 20,24 ;210811;266;0,13%; 0,10 ; 0,08 ;5; 4,05 ;1,88%
Health & Fitness;Incontinence; 20,24 ;210811;266;0,13%; 0,10 ; 0,08 ;5; 4,05 ;1,88%
Health & Fitness;Infertility; 42,40 ;212321;267;0,13%; 0,20 ; 0,16 ;5; 8,48 ;1,87%
Health & Fitness;Men's Health; 47,76 ;213426;272;0,13%; 0,22 ; 0,18 ;5; 9,55 ;1,84%
Health & Fitness;n/a; 5 438,32 ;647830;528;0,08%; 8,39 ; 10,30 ;5; 1 087,66 ;0,95%
Health & Fitness;Nutrition; 596,88 ;256681;291;0,11%; 2,33 ; 2,05 ;5; 119,38 ;1,72%
Health & Fitness;Orthopedics; 20,24 ;210811;266;0,13%; 0,10 ; 0,08 ;5; 4,05 ;1,88%
Health & Fitness;Panic/Anxiety Disorders; 52,32 ;214906;270;0,13%; 0,24 ; 0,19 ;5; 10,46 ;1,85%
Health & Fitness;Pediatrics; 36,32 ;213910;266;0,12%; 0,17 ; 0,14 ;5; 7,26 ;1,88%
Health & Fitness;Physical Therapy; 29,76 ;211279;266;0,13%; 0,14 ; 0,11 ;5; 5,95 ;1,88%
Health & Fitness;Psychology/Psychiatry; 194,96 ;224219;273;0,12%; 0,87 ; 0,71 ;5; 38,99 ;1,83%
Health & Fitness;Senior Health; 58,24 ;213496;268;0,13%; 0,27 ; 0,22 ;5; 11,65 ;1,87%
Health & Fitness;Sexuality; 267,28 ;226948;274;0,12%; 1,18 ; 0,98 ;5; 53,46 ;1,82%
Health & Fitness;Sleep Disorders; 44,16 ;212087;266;0,13%; 0,21 ; 0,17 ;5; 8,83 ;1,88%
Health & Fitness;Smoking Cessation; 30,16 ;211494;267;0,13%; 0,14 ; 0,11 ;5; 6,03 ;1,87%
Health & Fitness;Substance Abuse; 45,52 ;212699;267;0,13%; 0,21 ; 0,17 ;5; 9,10 ;1,87%
Health & Fitness;Thyroid Disease; 28,00 ;211189;266;0,13%; 0,13 ; 0,11 ;5; 5,60 ;1,88%
Health & Fitness;Weight Loss; 42,48 ;213176;266;0,12%; 0,20 ; 0,16 ;5; 8,50 ;1,88%
Health & Fitness;Women's Health; 197,04 ;229809;271;0,12%; 0,86 ; 0,73 ;5; 39,41 ;1,85%
Hobbies & Interests;Art/Technology; 91,28 ;218595;266;0,12%; 0,42 ; 0,34 ;5; 18,26 ;1,88%
Hobbies & Interests;Arts & Crafts; 375,12 ;239957;277;0,12%; 1,56 ; 1,35 ;5; 75,02 ;1,81%
Hobbies & Interests;Beadwork; 54,96 ;214860;266;0,12%; 0,26 ; 0,21 ;5; 10,99 ;1,88%
Hobbies & Interests;Birdwatching; 54,96 ;214860;266;0,12%; 0,26 ; 0,21 ;5; 10,99 ;1,88%
Hobbies & Interests;Board Games/Puzzles; 1 072,32 ;369808;349;0,09%; 2,90 ; 3,07 ;5; 214,46 ;1,43%
Hobbies & Interests;Candle & Soap Making; 54,96 ;214860;266;0,12%; 0,26 ; 0,21 ;5; 10,99 ;1,88%
Hobbies & Interests;Card Games; 720,72 ;287923;296;0,10%; 2,50 ; 2,43 ;5; 144,14 ;1,69%
Hobbies & Interests;Chess; 284,64 ;232440;275;0,12%; 1,22 ; 1,04 ;5; 56,93 ;1,82%
Hobbies & Interests;Cigars; 20,24 ;210811;266;0,13%; 0,10 ; 0,08 ;5; 4,05 ;1,88%
Hobbies & Interests;Collecting; 3 118,80 ;366972;330;0,09%; 8,50 ; 9,45 ;5; 623,76 ;1,52%
Hobbies & Interests;Comic Books; 3 577,12 ;448680;366;0,08%; 7,97 ; 9,77 ;5; 715,42 ;1,37%
Hobbies & Interests;Drawing/Sketching; 133,52 ;221772;281;0,13%; 0,60 ; 0,48 ;5; 26,70 ;1,78%
Hobbies & Interests;Freelance Writing; 55,04 ;214862;266;0,12%; 0,26 ; 0,21 ;5; 11,01 ;1,88%
Hobbies & Interests;Genealogy; 210,72 ;231431;271;0,12%; 0,91 ; 0,78 ;5; 42,14 ;1,85%
Hobbies & Interests;Getting Published; 55,04 ;214862;266;0,12%; 0,26 ; 0,21 ;5; 11,01 ;1,88%
Hobbies & Interests;Guitar; 108,40 ;220517;267;0,12%; 0,49 ; 0,41 ;5; 21,68 ;1,87%
Hobbies & Interests;Home Recording; 96,80 ;218919;266;0,12%; 0,44 ; 0,36 ;5; 19,36 ;1,88%
Hobbies & Interests;Investors & Patents; 54,96 ;214860;266;0,12%; 0,26 ; 0,21 ;5; 10,99 ;1,88%
Hobbies & Interests;Jewelry Making; 649,68 ;290174;284;0,10%; 2,24 ; 2,29 ;5; 129,94 ;1,76%
Hobbies & Interests;Magic & Illusion; 71,44 ;216117;266;0,12%; 0,33 ; 0,27 ;5; 14,29 ;1,88%
Hobbies & Interests;n/a; 26 903,52 ;3931804;2502;0,06%; 6,84 ; 10,75 ;6; 4 483,92 ;0,24%
Hobbies & Interests;Needlework; 409,04 ;253601;279;0,11%; 1,61 ; 1,47 ;5; 81,81 ;1,79%
Hobbies & Interests;Painting; 109,84 ;218783;269;0,12%; 0,50 ; 0,41 ;5; 21,97 ;1,86%
Hobbies & Interests;Photography; 645,28 ;271210;283;0,10%; 2,38 ; 2,28 ;5; 129,06 ;1,77%
Hobbies & Interests;Radio; 1 055,44 ;349815;348;0,10%; 3,02 ; 3,03 ;5; 211,09 ;1,44%
Hobbies & Interests;Roleplaying Games; 979,60 ;396549;329;0,08%; 2,47 ; 2,98 ;5; 195,92 ;1,52%
Hobbies & Interests;Sci-Fi & Fantasy; 95,76 ;219276;267;0,12%; 0,44 ; 0,36 ;5; 19,15 ;1,87%
Hobbies & Interests;Scrapbooking; 2 942,80 ;350573;327;0,09%; 8,39 ; 9,00 ;5; 588,56 ;1,53%
Hobbies & Interests;Screenwriting; 20,24 ;210811;266;0,13%; 0,10 ; 0,08 ;5; 4,05 ;1,88%
Hobbies & Interests;Stamps & Coins; 2 388,80 ;279163;309;0,11%; 8,56 ; 7,73 ;5; 477,76 ;1,62%
Hobbies & Interests;Video & Computer Games; 13 511,04 ;1950862;1682;0,09%; 6,93 ; 8,03 ;6; 2 251,84 ;0,36%
Hobbies & Interests;Woodworking; 20,24 ;210811;266;0,13%; 0,10 ; 0,08 ;5; 4,05 ;1,88%
Home & Garden;Appliances; 118,32 ;211792;263;0,12%; 0,56 ; 0,45 ;4; 29,58 ;1,52%
Home & Garden;Entertaining; 19,76 ;205750;260;0,13%; 0,10 ; 0,08 ;4; 4,94 ;1,54%
Home & Garden;Environmental Safety; 20,96 ;205869;260;0,13%; 0,10 ; 0,08 ;4; 5,24 ;1,54%
Home & Garden;Gardening; 4 025,04 ;347587;341;0,10%; 11,58 ; 11,80 ;4; 1 006,26 ;1,17%
Home & Garden;Home Repair; 246,40 ;227201;271;0,12%; 1,08 ; 0,91 ;4; 61,60 ;1,48%
Home & Garden;Home Theater; 89,28 ;212393;266;0,13%; 0,42 ; 0,34 ;4; 22,32 ;1,50%
